FIPS,LISA_CL,Normalized Median Age,Normalized Male Median Age,Normalized Median Female Age,Normalized Sex Ratio (males per 100 females),Normalized Workers 16 years and over,"Normalized Management, business, science, and arts occupations; Estimate; Civilian employed population 16 years and over",Normalized Service occupations; Estimate; Civilian employed population 16 years and over,Normalized Sales and office occupations; Estimate; Civilian employed population 16 years and over,Normalized Natural resources construction and maintenance occupations; Estimate; Civilian employed population 16 years and over,"Normalized Production, transportation, and material moving occupations; Estimate; Civilian employed population 16 years and over","Normalized Cars, truck, or Van to work","Normalized car, truck, or van drove alone","Normalized car, truck, or van carpool",Normalized public transportation to work,Normalized walked to work,Normalized biked to work,"Normalized taxi, motorcycle, or other",Normalized worked at home,Normalized mean travel time to work (minutes),Normalized Total; Estimate; Population 45 to 64 years,Normalized Total; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_5 years and over with earnings - Less than high school graduate,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ver with earnings - High school graduate (includes equivalency),Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ars and over with earnings - Some college or associate's degree,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ Population 25 years and over with earnings - Bachelor's degree,Normlized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS_ years and over with earnings - Graduate or professional degree,Normalized Household Mean Income,Normalized Social Security Income,Normalized Cash public assistance income,Normalized per capita income per household
32033,1,0.395505618,0.368539326,0.411363636,0.232732222,0.000737261,0.396797153,0.49695122,0.319391635,0.566091954,0.145348837,0.857453754,0.784667418,0.398026316,0.012944984,0.150829563,0,0.048257373,0.025062657,0.242574257,0.001067013,0.001240728,0.776752768,0.000579037,0.408456779,0.305968548,0.344248926,0.562267159,0.5456026,0.317392241,0.27048451,0.668688047,0.179930579,0.277709833
48263,1,0.608988764,0.586516854,0.627272727,0.0762164,6.01E-05,0.533807829,0.356707317,0.247148289,0.494252874,0.170542636,0.834602829,0.774520857,0.355263158,0,0.138763198,0,0.042895442,0.127819549,0.116336634,5.68E-05,5.24E-05,0.485239852,4.23E-05,0.242871125,0.364317421,0.17118211,0.37323501,0.3823946,0.376532633,0.247111777,0.600291545,0.216076792,0.251921867
51057,1,0.528089888,0.548314607,0.504545455,0.050357264,0.001140195,0.204626335,0.442073171,0.768060837,0.347701149,0.308139535,0.898803047,0.877113867,0.246710526,0.003236246,0.058823529,0.020979021,0.067024129,0.080200501,0.705445545,0.00128891,0.001347705,0.616236162,0.00064732,0.25713717,0.41042227,0.271887063,0.292716206,0.4491627,0.371648728,0.225637337,0.571370262,0.233054721,0.143580963
27121,1,0.559550562,0.525842697,0.588636364,0.105818306,0.001148471,0.396797153,0.323170732,0.547528517,0.287356322,0.32751938,0.880304679,0.854565953,0.259868421,0.008090615,0.075414781,0.013986014,0.024128686,0.130325815,0.326732673,0.001226986,0.00154855,0.915129151,0.000863093,0.334770997,0.470586294,0.269658034,0.406779401,0.4701413,0.493972071,0.161555117,0.595860058,0.124853076,0.20027605
34039,1,0.375280899,0.350561798,0.390909091,0.082000681,0.057690151,0.416370107,0.375,0.623574144,0.215517241,0.284883721,0.751904244,0.722660654,0.253289474,0.181229773,0.045248869,0.020979021,0.139410188,0.095238095,0.643564356,0.059641979,0.069205981,0.774907749,0.071677706,0.445366024,0.312107061,0.282180461,0.489030616,0.6961782,0.766988498,0.288080796,0.717725948,0.154564451,0.28387728
33007,1,0.593258427,0.55505618,0.631818182,0.143246002,0.003160093,0.302491103,0.530487805,0.566539924,0.33045977,0.257751938,0.886833515,0.829763247,0.351973684,0.003236246,0.04826546,0,0.032171582,0.160401003,0.391089109,0.00411324,0.004870093,0.808118081,0.002724479,0.240648276,0.28072144,0.199362099,0.360801509,0.3566755,0.384566451,0.17241098,0.66425656,0.15234426,0.202704592
4005,1,0.206741573,0.215730337,0.190909091,0.091187479,0.013922355,0.412811388,0.530487805,0.585551331,0.232758621,0.197674419,0.797606094,0.727170237,0.381578947,0.027508091,0.122171946,0.174825175,0.050938338,0.127819549,0.326732673,0.012651329,0.015053397,0.817343173,0.014455446,0.301660501,0.30789921,0.207607691,0.364174345,0.3963358,0.427711029,0.139598689,0.700816327,0.213399504,0.186770564
20159,1,0.364044944,0.328089888,0.431818182,0.105137802,0.001022799,0.329181495,0.405487805,0.429657795,0.436781609,0.308139535,0.896626768,0.807215333,0.447368421,0.004854369,0.088989442,0.013986014,0.024128686,0.072681704,0.274752475,0.001034066,0.001251216,0.841328413,0.00074155,0.282782874,0.253873698,0.245102481,0.420868659,0.3375664,0.352051548,0.25153124,0.689854227,0.217709286,0.274302886
42101,1,0.278651685,0.253932584,0.293181818,0.064307588,0.139263406,0.419928826,0.570121951,0.585551331,0.163793103,0.207364341,0.565832427,0.520856821,0.282894737,0.415857605,0.123680241,0.146853147,0.034852547,0.082706767,0.688118812,0.145812807,0.156988796,0.658671587,0.099969956,0.316955029,0.278823782,0.213424911,0.387170957,0.4763774,0.498917538,0.14714737,0.542798834,0.218492882,0.185040883
8029,1,0.584269663,0.550561798,0.606818182,0.099693773,0.002383846,0.352313167,0.460365854,0.399239544,0.534482759,0.197674419,0.859630033,0.80270575,0.348684211,0.004854369,0.070889894,0.062937063,0.018766756,0.177944862,0.477722772,0.003452311,0.004159533,0.837638376,0.00225606,0.242589121,0.362535272,0.211069027,0.306974106,0.3209946,0.342858315,0.127756603,0.48845481,0.205237038,0.070654833
8003,1,0.195505618,0.197752809,0.181818182,0.082340932,0.001350156,0.297153025,0.512195122,0.684410646,0.402298851,0.168604651,0.890097933,0.797068771,0.460526316,0,0.084464555,0.13986014,0.010723861,0.065162907,0.212871287,0.001412363,0.001647137,0.782287823,0.001270058,0.228986613,0.242207224,0.097624182,0.369754856,0.3081484,0.321814432,0.212364116,0.621632653,0.203539245,0.233908729
37095,1,0.456179775,0.453932584,0.5,0.14086424,0.000444534,0.193950178,0.283536585,0.634980989,0.632183908,0.296511628,0.805223069,0.732807215,0.388157895,0.009708738,0.099547511,0.083916084,0.067024129,0.192982456,0.455445545,0.000639493,0.000697451,0.677121771,0.000136565,0.24544233,0.296636514,0.283684602,0.383399512,0.2865689,0.451937079,0.136528793,0.643440233,0.164620609,0.186421134
17041,1,0.370786517,0.364044944,0.386363636,0.08948622,0.001987228,0.245551601,0.274390244,0.69581749,0.333333333,0.416666667,0.859630033,0.80270575,0.348684211,0.003236246,0.051282051,0.195804196,0.042895442,0.140350877,0.400990099,0.002031612,0.002297392,0.734317343,0.001365654,0.331950965,0.484991997,0.305304362,0.386312417,0.476097,0.347003478,0.251197556,0.649154519,0.155478647,0.279317213
29229,1,0.458426966,0.440449438,0.486363636,0.085403198,0.001405913,0.167259786,0.524390244,0.422053232,0.433908046,0.416666667,0.865070729,0.782412627,0.427631579,0,0.073906486,0,0.058981233,0.147869674,0.559405941,0.002027245,0.002171536,0.651291513,0.000771594,0.147885805,0.222818105,0.161522988,0.233783556,0.2132842,0.370550876,0.136944045,0.546705539,0.170693483,0.186281361
45017,1,0.546067416,0.543820225,0.55,0.071112623,0.001346236,0.229537367,0.292682927,0.589353612,0.376436782,0.445736434,0.926006529,0.909808343,0.236842105,0.009708738,0.019607843,0,0.050938338,0.09273183,0.594059406,0.001798203,0.002107035,0.789667897,0.001237282,0.274024186,0.326958301,0.200268208,0.411562696,0.3428144,0.45410053,0.209998665,0.596909621,0.126550868,0.221241876
42089,1,0.460674157,0.44494382,0.465909091,0.090847227,0.016342573,0.350533808,0.506097561,0.6121673,0.25,0.253875969,0.870511425,0.82638106,0.3125,0.072815534,0.031674208,0,0.021447721,0.130325815,0.834158416,0.020651545,0.024961916,0.843173432,0.016461591,0.346349717,0.320456758,0.288396368,0.434497984,0.4864728,0.617793419,0.195064438,0.510087464,0.120608593,0.29673632
8011,1,0.442696629,0.42247191,0.565909091,0.410343654,0.000274866,0.352313167,0.743902439,0.452471483,0.33045977,0.129844961,0.871599565,0.824126268,0.322368421,0,0.07239819,0,0.034852547,0.160401003,0.363861386,0.000640684,0.000724195,0.732472325,0.000189826,0.224723388,0.296178945,0.296913793,0.323960936,0.3990866,0.265382761,0.257767429,0.529854227,0.095664098,0.337025648
37079,1,0.411235955,0.375280899,0.456818182,0.156856073,0.001730221,0.202846975,0.50304878,0.33460076,0.545977011,0.358527132,0.942328618,0.871476888,0.394736842,0.003236246,0.052790347,0.006993007,0.018766756,0.040100251,0.472772277,0.002379344,0.002428492,0.581180812,0.00086719,0.189273925,0.202026369,0.219640818,0.322749782,0.4060839,0.428162482,0.235729434,0.586297376,0.083453049,0.309525473
26025,1,0.415730337,0.395505618,0.425,0.084042191,0.01234612,0.272241993,0.43902439,0.539923954,0.212643678,0.44379845,0.920565832,0.872604284,0.332236842,0.012944984,0.043740573,0.027972028,0.021447721,0.077694236,0.381188119,0.014635703,0.01793392,0.865313653,0.01021509,0.27745799,0.232636425,0.20710027,0.370230119,0.4830542,0.580743462,0.305454626,0.633994169,0.169191589,0.294465022
19059,1,0.613483146,0.573033708,0.638636364,0.100034025,0.001912957,0.403914591,0.317073171,0.505703422,0.318965517,0.321705426,0.883569097,0.854565953,0.269736842,0.004854369,0.045248869,0.055944056,0.040214477,0.147869674,0.26980198,0.001991123,0.002577421,0.961254613,0.00203619,0.34926928,0.312288576,0.306047371,0.36124611,0.4919611,0.618891272,0.239563096,0.536326531,0.078163772,0.297103222
21193,1,0.440449438,0.433707865,0.434090909,0.085403198,0.001818649,0.318505338,0.43902439,0.72243346,0.310344828,0.23255814,0.927094668,0.898534386,0.273026316,0.004854369,0.007541478,0,0.109919571,0.062656642,0.425742574,0.003218108,0.00308399,0.494464945,0.001342438,0.253620424,0.22562334,0.165890433,0.354071167,0.2803862,0.516165109,0.15593439,0.414227405,0.3571242,0.10002446
49009,1,0.611235955,0.665168539,0.427272727,0.224566179,5.23E-05,0.15658363,1,0.02661597,0.468390805,0.302325581,0.547334059,0.565952649,0.095394737,0.017799353,0.475113122,0,0.048257373,0.197994987,0.334158416,8.57E-05,0.000112746,0.94095941,4.10E-05,0.355456762,0.301057184,1,0.382476673,0.2738963,0.762371361,0.121112578,0.599300292,0.082734753,0.180445873
46097,1,0.440449438,0.431460674,0.520454545,0.117727118,0.000226079,0.409252669,0.25304878,0.532319392,0.333333333,0.335271318,0.834602829,0.815107103,0.236842105,0.009708738,0.055806938,0.006993007,0.034852547,0.255639098,0.381188119,0.000224676,0.000283175,0.898523985,9.56E-05,0.247333411,0.275110972,0.19720556,0.374783449,0.4616884,0.375681028,0.121831853,0.568571429,0.09292151,0.160807883
6115,1,0.240449438,0.226966292,0.245454545,0.108880572,0.005895253,0.243772242,0.5,0.680608365,0.413793103,0.226744186,0.9085963,0.819616685,0.447368421,0.019417476,0.016591252,0.034965035,0.029490617,0.130325815,0.636138614,0.00675497,0.007182693,0.640221402,0.003233868,0.267786938,0.268213396,0.166579076,0.432642924,0.407486,0.531904415,0.237672218,0.759825073,0.199686561,0.291040604
42009,1,0.537078652,0.528089888,0.55,0.098673018,0.004706489,0.21886121,0.408536585,0.547528517,0.367816092,0.414728682,0.9085963,0.863585118,0.319078947,0.006472492,0.040723982,0.034965035,0.029490617,0.112781955,0.556930693,0.005805456,0.006992336,0.835793358,0.002605667,0.263042649,0.3664626,0.22422573,0.372652429,0.4132415,0.401506213,0.25689985,0.765422741,0.203800444,0.302519393
53009,1,0.647191011,0.608988764,0.681818182,0.091527731,0.005967564,0.286476868,0.582317073,0.615969582,0.327586207,0.220930233,0.866158868,0.824126268,0.305921053,0.022653722,0.060331825,0.076923077,0.034852547,0.130325815,0.403465347,0.008259427,0.010194316,0.878228782,0.006865142,0.26145016,0.259863699,0.216233849,0.35140356,0.3728734,0.443440075,0.154896261,0.639125364,0.090309521,0.186141589
18155,1,0.417977528,0.420224719,0.411363636,0.124872406,0.000939599,0.058718861,0.643292683,0.433460076,0.502873563,0.406976744,0.918389554,0.856820744,0.368421053,0,0.015082956,0,0.045576408,0.137844612,0.752475248,0.00113648,0.001254887,0.695571956,0.000389211,0.245691157,0.298691441,0.263424005,0.347432812,0.5134338,0.34233504,0.39151552,0.960991254,0.08802403,0.429642183
41005,1,0.447191011,0.431460674,0.459090909,0.088465464,0.04096381,0.444839858,0.326219512,0.69581749,0.24137931,0.228682171,0.856365615,0.813979707,0.305921053,0.046925566,0.030165913,0.041958042,0.026809651,0.182957393,0.571782178,0.045500881,0.056860056,0.900369004,0.054911574,0.44140139,0.355835712,0.328826951,0.48751284,0.583754,0.583082811,0.544372599,0.761049563,0.190348701,0.554056887
20207,1,0.584269663,0.570786517,0.604545455,0.102415788,0.000318427,0.314946619,0.332317073,0.281368821,0.451149425,0.434108527,0.845484222,0.806087937,0.299342105,0.003236246,0.09653092,0.013986014,0.061662198,0.145363409,0.428217822,0.00036758,0.000448361,0.850553506,0.0001352,0.135427898,0.315192819,0.105960385,0.270179527,0.2905884,0.188430481,0.328137745,0.730262391,0.169713987,0.343996785
37001,1,0.406741573,0.384269663,0.422727273,0.067369854,0.015523855,0.34519573,0.393292683,0.608365019,0.293103448,0.304263566,0.947769314,0.899661781,0.332236842,0.003236246,0.022624434,0.006993007,0.026809651,0.067669173,0.46039604,0.016709789,0.019185661,0.758302583,0.012872653,0.273592887,0.26491312,0.192040739,0.383966762,0.4696606,0.442988621,0.246214537,0.626588921,0.138566018,0.295146411
1009,1,0.433707865,0.424719101,0.445454545,0.092548486,0.004641584,0.284697509,0.234756098,0.6121673,0.41954023,0.38372093,0.967355822,0.918827508,0.332236842,0.003236246,0.013574661,0,0.010723861,0.055137845,0.747524752,0.0061516,0.006593268,0.651291513,0.002694435,0.343596039,0.339944885,0.262101086,0.488218069,0.4976631,0.42233463,0.197600439,0.682565598,0.240760089,0.277954434
1095,1,0.388764045,0.366292135,0.402272727,0.08948622,0.008169762,0.256227758,0.298780488,0.608365019,0.382183908,0.401162791,0.956474429,0.886133033,0.398026316,0.004854369,0.018099548,0,0.013404826,0.067669173,0.47029703,0.00955588,0.010280842,0.656826568,0.005423011,0.217656719,0.260309236,0.166017289,0.356278842,0.4336057,0.423914716,0.179959661,0.595685131,0.187410213,0.226990006
1115,1,0.415730337,0.408988764,0.429545455,0.102415788,0.008183701,0.286476868,0.323170732,0.72243346,0.341954023,0.321705426,0.946681175,0.9210823,0.263157895,0.003236246,0.009049774,0,0.037533512,0.087719298,0.616336634,0.009460214,0.010315977,0.677121771,0.004473882,0.360068344,0.310704444,0.327214077,0.472365738,0.544708,0.451863784,0.150002225,0.510612245,0.06660572,0.207264659
54011,0,0.37752809,0.348314607,0.406818182,0.085403198,0.008517592,0.411032028,0.445121951,0.783269962,0.16954023,0.191860465,0.892274211,0.869222097,0.25,0.021035599,0.064856712,0.020979021,0.056300268,0.067669173,0.391089109,0.009598751,0.011180711,0.782287823,0.00807238,0.268483652,0.170574743,0.157481742,0.31088353,0.4353017,0.443809446,0.257033324,0.707988338,0.269818467,0.298675659
