FIPS,LISA_CL,Percent,Normalized Median Age,Normalized Male Median Age,Normalized Median Female Age,Normalized Sex Ratio (males per 100 females),Normalized Workers 16 years and over,"Normalized Management, business, science, and arts occupations; Estimate; Civilian employed population 16 years and over",Normalized Service occupations; Estimate; Civilian employed population 16 years and over,Normalized Sales and office occupations; Estimate; Civilian employed population 16 years and over,Normalized Natural resources construction and maintenance occupations; Estimate; Civilian employed population 16 years and over,"Normalized Production, transportation, and material moving occupations; Estimate; Civilian employed population 16 years and over","Normalized Cars, truck, or Van to work","Normalized car, truck, or van drove alone","Normalized car, truck, or van carpool",Normalized public transportation to work,Normalized walked to work,Normalized biked to work,"Normalized taxi, motorcycle, or other",Normalized worked at home,Normalized mean travel time to work (minutes),Normalized Total; Estimate; Population 45 to 64 years,Normalized Total; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_5 years and over with earnings - Less than high school graduate,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ver with earnings - High school graduate (includes equivalency),Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ars and over with earnings - Some college or associate's degree,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ Population 25 years and over with earnings - Bachelor's degree,Normlized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS_ years and over with earnings - Graduate or professional degree,Normalized Household Mean Income,Normalized Social Security Income,Normalized Cash public assistance income,Normalized per capita income per household
50009,0,0,0.62247191,0.633707865,0.611363636,0.106158557,0.000567593,0.265124555,0.50304878,0.410646388,0.382183908,0.362403101,0.902067465,0.844419391,0.355263158,0.003236246,0.034690799,0.013986014,0.010723861,0.162907268,0.514851485,0.000810581,0.000966467,0.817343173,0.000469785,0.20353997,0.225359318,0.185915442,0.355266991,0.3474882,0.416886408,0.29232971,0.589795918,0.076988377,0.339017402
50011,0,0,0.408988764,0.391011236,0.422727273,0.094249745,0.005335501,0.393238434,0.353658537,0.52851711,0.350574713,0.277131783,0.900979325,0.839909808,0.365131579,0.011326861,0.054298643,0.006993007,0.018766756,0.120300752,0.527227723,0.00573321,0.006993385,0.857933579,0.004648686,0.383988853,0.351677365,0.334861637,0.460913425,0.5067035,0.525101834,0.169296593,0.51393586,0.089917722,0.258753232
50013,0,0,0.582022472,0.588764045,0.570454545,0.095610752,0.000789969,0.40569395,0.320121951,0.688212928,0.298850575,0.240310078,0.885745375,0.81059752,0.401315789,0.003236246,0.028657617,0.013986014,0.018766756,0.205513784,0.705445545,0.000976904,0.001244399,0.929889299,0.001274155,0.355921238,0.224286728,0.329261884,0.399067871,0.4707689,0.544042355,0.26547183,0.651370262,0.231161029,0.313875882
50015,0,0,0.433707865,0.433707865,0.427272727,0.093909493,0.002855605,0.446619217,0.426829268,0.517110266,0.356321839,0.174418605,0.872687704,0.8421646,0.269736842,0.009708738,0.057315234,0.013986014,0.037533512,0.162907268,0.512376238,0.002840605,0.003523961,0.885608856,0.003553431,0.333543453,0.361941222,0.269658034,0.396338939,0.3763454,0.443871007,0.214077029,0.588221574,0.325062035,0.31017192
50017,0,1.420454545,0.537078652,0.516853933,0.55,0.095951004,0.003227394,0.448398577,0.329268293,0.501901141,0.399425287,0.213178295,0.850924918,0.797068771,0.338815789,0.009708738,0.067873303,0.020979021,0.029490617,0.197994987,0.532178218,0.003725813,0.004559649,0.863468635,0.003948105,0.342418261,0.450091583,0.259853935,0.443420669,0.41889,0.418538317,0.288955791,0.631137026,0.177197635,0.317195471
50019,1,1.869991095,0.530337079,0.514606742,0.538636364,0.100714529,0.002603826,0.354092527,0.365853659,0.524714829,0.41954023,0.269379845,0.87921654,0.82638106,0.335526316,0.001618123,0.043740573,0.013986014,0.034852547,0.185463659,0.48019802,0.003173649,0.003779343,0.817343173,0.002269717,0.245359388,0.366512104,0.239067795,0.310147638,0.3269904,0.388373024,0.242729389,0.546413994,0.173566671,0.189967852
50021,0,0,0.548314607,0.528089888,0.563636364,0.087444709,0.006400554,0.366548043,0.426829268,0.6121673,0.301724138,0.251937984,0.872687704,0.852311161,0.243421053,0.01618123,0.079939668,0.020979021,0.016085791,0.127819549,0.398514851,0.007528634,0.009321192,0.883763838,0.007422328,0.287311514,0.291909374,0.238995306,0.365922087,0.3946265,0.446230877,0.302918626,0.701341108,0.177196345,0.369400377
50023,0,0,0.48988764,0.469662921,0.511363636,0.091187479,0.006770165,0.537366548,0.347560976,0.600760456,0.255747126,0.15503876,0.838955386,0.790304397,0.319078947,0.019417476,0.092006033,0.020979021,0.029490617,0.172932331,0.448019802,0.007197177,0.00904798,0.909594096,0.010138614,0.379526566,0.36671012,0.297366847,0.45142349,0.4240846,0.443552938,0.270506755,0.710262391,0.051717383,0.324900412
50025,0,0,0.55505618,0.528089888,0.570454545,0.087104457,0.004687758,0.460854093,0.432926829,0.456273764,0.336206897,0.201550388,0.792165397,0.759864713,0.266447368,0.019417476,0.082956259,0.020979021,0.034852547,0.288220551,0.405940594,0.005574825,0.006827675,0.865313653,0.006836463,0.276379742,0.350720285,0.256682554,0.336363776,0.3336405,0.402983696,0.26171232,0.557084548,0.156196944,0.316234538
50027,0,1.729818781,0.575280899,0.557303371,0.588636364,0.086083702,0.006001323,0.43772242,0.423780488,0.543726236,0.290229885,0.218992248,0.875952122,0.822998873,0.338815789,0.011326861,0.069381599,0.034965035,0.010723861,0.147869674,0.440594059,0.007098733,0.00877739,0.881918819,0.008666439,0.344674286,0.429761885,0.279226545,0.409247704,0.4349411,0.460800509,0.263781162,0.682099125,0.186822515,0.283999581
51001,0,1.930147059,0.537078652,0.487640449,0.568181818,0.082681184,0.003071665,0.300711744,0.37804878,0.490494297,0.436781609,0.325581395,0.914036997,0.839909808,0.404605263,0.009708738,0.040723982,0.06993007,0.021447721,0.090225564,0.405940594,0.003853632,0.004302169,0.71402214,0.00228747,0.23081134,0.273378327,0.188053859,0.38293958,0.4048954,0.480643937,0.239822628,0.582507289,0.074441687,0.270633867
51003,0,2.457757296,0.391011236,0.364044944,0.411363636,0.071452875,0.010738522,0.715302491,0.329268293,0.418250951,0.181034483,0.114341085,0.850924918,0.820744081,0.269736842,0.03236246,0.051282051,0.027972028,0.032171582,0.182957393,0.430693069,0.010894806,0.013332844,0.863468635,0.020101058,0.463580114,0.320753783,0.277196861,0.441749582,0.52194,0.55738075,0.150298833,0.63335277,0.207979626,0.207212244
51005,0,0,0.595505618,0.570786517,0.604545455,0.084722695,0.001375857,0.279359431,0.353658537,0.486692015,0.416666667,0.379844961,0.953210011,0.904171364,0.335526316,0.006472492,0.016591252,0.020979021,0.024128686,0.055137845,0.482673267,0.001823608,0.002069803,0.739852399,0.001062479,0.326360666,0.228346067,0.323354053,0.36710258,0.4731592,0.478776561,0.284929333,0.648629738,0.180553742,0.31039905
51007,0,0,0.512359551,0.44494382,0.584090909,0.126233413,0.00128242,0.254448399,0.405487805,0.787072243,0.479885057,0.180232558,0.936887922,0.908680947,0.276315789,0.011326861,0.019607843,0,0.056300268,0.060150376,0.787128713,0.001574718,0.001690662,0.65498155,0.000609082,0.348307151,0.298691441,0.304742574,0.471829151,0.4675774,0.55267127,0.329880319,0.703440233,0.285033303,0.378450625
51009,0,0,0.503370787,0.487640449,0.511363636,0.07247363,0.003144847,0.263345196,0.429878049,0.650190114,0.313218391,0.337209302,0.92383025,0.885005637,0.302631579,0.022653722,0.025641026,0,0.048257373,0.070175439,0.497524752,0.00375479,0.004173167,0.706642066,0.002581086,0.257269877,0.28322965,0.210525362,0.379398102,0.3944663,0.41728656,0.212631064,0.574985423,0.046362805,0.266318401
