FIPS,LISA_CL,Normalized Median Age,Normalized Male Median Age,Normalized Median Female Age,Normalized Sex Ratio (males per 100 females),Normalized Workers 16 years and over,"Normalized Management, business, science, and arts occupations; Estimate; Civilian employed population 16 years and over",Normalized Service occupations; Estimate; Civilian employed population 16 years and over,Normalized Sales and office occupations; Estimate; Civilian employed population 16 years and over,Normalized Natural resources construction and maintenance occupations; Estimate; Civilian employed population 16 years and over,"Normalized Production, transportation, and material moving occupations; Estimate; Civilian employed population 16 years and over","Normalized Cars, truck, or Van to work","Normalized car, truck, or van drove alone","Normalized car, truck, or van carpool",Normalized public transportation to work,Normalized walked to work,Normalized biked to work,"Normalized taxi, motorcycle, or other",Normalized worked at home,Normalized mean travel time to work (minutes),Normalized Total; Estimate; Population 45 to 64 years,Normalized Total; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_5 years and over with earnings - Less than high school graduate,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ver with earnings - High school graduate (includes equivalency),Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ars and over with earnings - Some college or associate's degree,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ Population 25 years and over with earnings - Bachelor's degree,Normlized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS_ years and over with earnings - Graduate or professional degree,Normalized Household Mean Income,Normalized Social Security Income,Normalized Cash public assistance income,Normalized per capita income per household
6053,1,0.274157303,0.269662921,0.272727273,0.1143246,0.039765244,0.261565836,0.463414634,0.486692015,0.58045977,0.220930233,0.815016322,0.742953777,0.388157895,0.03236246,0.046757164,0.055944056,0.198391421,0.112781955,0.435643564,0.039456458,0.037312036,0.47601476,0.032086036,0.252193819,0.27245425,0.208441311,0.453753814,0.5506637,0.638703918,0.131694078,0.632653061,0.239519394,0.181738766
6055,1,0.431460674,0.413483146,0.447727273,0.0952705,0.014861736,0.384341637,0.515243902,0.517110266,0.33045977,0.205426357,0.870511425,0.80270575,0.381578947,0.024271845,0.060331825,0.048951049,0.016085791,0.145363409,0.47029703,0.015161668,0.016901379,0.712177122,0.017720724,0.42328683,0.335489513,0.297076892,0.517301118,0.6717945,0.671034136,0.159226742,0.551078717,0.197858169,0.184936054
6065,1,0.298876404,0.287640449,0.302272727,0.095610752,0.201207016,0.28113879,0.5,0.66539924,0.327586207,0.253875969,0.902067465,0.817361894,0.434210526,0.021035599,0.022624434,0.027972028,0.034852547,0.130325815,0.693069307,0.2187468,0.229232621,0.618081181,0.15746125,0.312476154,0.301661689,0.270763487,0.447728701,0.555698,0.636364569,0.091258954,0.585422741,0.204584041,0.120658327
6069,1,0.305617978,0.298876404,0.306818182,0.100034025,0.005567896,0.258007117,0.43902439,0.55513308,0.474137931,0.275193798,0.937976061,0.85005637,0.444078947,0.008090615,0.022624434,0.027972028,0.024128686,0.077694236,0.683168317,0.00596265,0.006089845,0.581180812,0.003700922,0.365343463,0.293559512,0.306790381,0.528569457,0.6518575,0.668694787,0.189532694,0.659125364,0.178921249,0.22393249
6075,1,0.379775281,0.386516854,0.365909091,0.112283089,0.104349053,0.734875445,0.356707317,0.47148289,0.103448276,0.102713178,0.37867247,0.342728298,0.236842105,0.54368932,0.159879336,0.286713287,0.075067024,0.165413534,0.680693069,0.086300633,0.096940919,0.723247232,0.131915329,0.665511006,0.298377915,0.217484279,0.482637558,0.8036215,0.842504335,0.166204452,0.628221574,0.181990336,0.222360053
6079,1,0.393258427,0.364044944,0.436363636,0.110241579,0.027748659,0.444839858,0.469512195,0.589353612,0.287356322,0.160852713,0.837867247,0.782412627,0.342105263,0.025889968,0.063348416,0.153846154,0.024128686,0.167919799,0.423267327,0.029220199,0.035018839,0.828413284,0.034027996,0.407577592,0.316347915,0.299251554,0.450365646,0.5544962,0.569508429,0.173285975,0.613644315,0.209220321,0.211842197
6083,1,0.274157303,0.260674157,0.284090909,0.100374277,0.044002587,0.382562278,0.506097561,0.513307985,0.405172414,0.162790698,0.806311208,0.713641488,0.450657895,0.055016181,0.066365008,0.272727273,0.032171582,0.135338346,0.353960396,0.040039187,0.043043717,0.656826568,0.045032434,0.335650183,0.297635353,0.258186695,0.458675089,0.5736052,0.597652442,0.139635765,0.597492711,0.172521875,0.19166259
6091,1,0.757303371,0.761797753,0.756818182,0.091527731,0.000249819,0.384341637,0.37195122,0.498098859,0.454022989,0.224806202,0.776931447,0.721533258,0.332236842,0,0.081447964,0.055944056,0,0.37593985,0.554455446,0.000423153,0.000501325,0.804428044,0.000363264,0.253786308,0.216184551,0.171653286,0.350882303,0.440238009,0.41865118,0.211459461,0.820699708,0.069348309,0.281431267
6093,1,0.593258427,0.575280899,0.6,0.0952705,0.003426247,0.341637011,0.527439024,0.547528517,0.382183908,0.19379845,0.834602829,0.77113867,0.361842105,0.009708738,0.070889894,0.041958042,0.026809651,0.223057644,0.339108911,0.005229872,0.006122358,0.789667897,0.004028679,0.163926812,0.231118298,0.15547018,0.277139835,0.292084,0.251603172,0.103241929,0.495451895,0.182087661,0.13550912
6095,1,0.359550562,0.339325843,0.377272727,0.094930248,0.041183137,0.339857651,0.478658537,0.661596958,0.295977011,0.226744186,0.903155604,0.815107103,0.444078947,0.045307443,0.022624434,0.034965035,0.026809651,0.095238095,0.641089109,0.046480961,0.054572628,0.795202952,0.0417972,0.436491216,0.337535684,0.308548232,0.528201512,0.6488663,0.670890492,0.467536223,0.806180758,0.227830743,0.382608848
6099,1,0.276404494,0.262921348,0.284090909,0.091187479,0.044873142,0.240213523,0.411585366,0.604562738,0.402298851,0.335271318,0.914036997,0.851183766,0.371710526,0.014563107,0.025641026,0.034965035,0.032171582,0.107769424,0.559405941,0.049870156,0.049864574,0.551660517,0.029171731,0.295622315,0.304796951,0.263822693,0.438898002,0.5741794,0.656146435,0.122832906,0.609504373,0.136345827,0.164529317
8013,1,0.325842697,0.305617978,0.338636364,0.101735284,0.035895769,0.711743772,0.329268293,0.452471483,0.143678161,0.125968992,0.71164309,0.683201804,0.25,0.080906149,0.079939668,0.307692308,0.034852547,0.28320802,0.433168317,0.032637578,0.041175807,0.91697417,0.068177535,0.482325034,0.318031056,0.245519291,0.431631073,0.5414764,0.587976976,0.474432366,0.754810496,0.20954682,0.462401286
8027,1,0.793258427,0.858426966,0.747727273,0.086423954,0.000261798,0.206405694,0.478658537,0.288973384,0.908045977,0.149224806,0.820457018,0.689966178,0.559210526,0,0.04826546,0,0,0.350877193,0.623762376,0.000590668,0.000742025,0.904059041,0.00071014,0.150838545,0.274318906,0.154074772,0.248670029,0.439506471,0.556949817,0.135245962,0.533294461,0.071046102,0.179554826
8033,1,0.550561798,0.435955056,0.715909091,0.140523988,0.000151373,0.231316726,0.582317073,0.718631179,0.41954023,0.166666667,0.717083787,0.635851184,0.404605263,0,0.301659125,0,0.002680965,0.162907268,0.344059406,0.000163942,0.000191406,0.774907749,0.000101058,0.208118375,0.295566756,0.292655081,0.234519447,0.4032663,0.475742589,0.115454775,0.542682216,0.337011885,0.194580334
8039,1,0.537078652,0.546067416,0.527272727,0.105137802,0.002693996,0.5,0.298780488,0.517110266,0.390804598,0.178294574,0.858541893,0.812852311,0.319078947,0.003236246,0.016591252,0,0.021447721,0.290726817,0.873762376,0.003555519,0.004612613,0.964944649,0.004245818,0.563508784,0.309549347,0.395770283,0.670765174,0.6969794,0.478530314,0.207032582,0.727580175,0.240237691,0.23771752
8041,1,0.276404494,0.256179775,0.297727273,0.103096291,0.069781224,0.489323843,0.408536585,0.63878327,0.24137931,0.156976744,0.880304679,0.824126268,0.345394737,0.011326861,0.052790347,0.027972028,0.029490617,0.15037594,0.433168317,0.064834935,0.08194101,0.920664207,0.088887675,0.375313107,0.316727447,0.228339465,0.410274886,0.4954464,0.568923592,0.184119592,0.603381924,0.164751208,0.216437207
8057,1,0.66741573,0.687640449,0.65,0.079618918,0.000148977,0.386120996,0.323170732,0.281368821,0.698275862,0.197674419,0.631120783,0.65276212,0.095394737,0.001618123,0.191553544,0,0.09919571,0.45112782,0.398514851,0.000167912,0.000210284,0.883763838,9.70E-05,0.306504321,0.299437364,0.325220638,0.273031107,0.4825468,0.167058268,0.142468374,0.619650146,0.201123155,0.189723251
8065,1,0.402247191,0.42247191,0.370454545,0.183735965,0.000904315,0.268683274,0.658536585,0.501901141,0.468390805,0.156976744,0.760609358,0.689966178,0.378289474,0.025889968,0.152337858,0.041958042,0.029490617,0.230576441,0.514851485,0.000830031,0.001036212,0.894833948,0.000792079,0.324253936,0.408128579,0.35225893,0.339889923,0.3647678,0.121369135,0.192113186,0.575218659,0.312720387,0.231200643
8075,1,0.350561798,0.339325843,0.431818182,0.170806397,0.002245977,0.217081851,0.515243902,0.585551331,0.471264368,0.255813953,0.883569097,0.801578354,0.421052632,0.006472492,0.084464555,0,0.024128686,0.112781955,0.304455446,0.002219768,0.002721106,0.865313653,0.001264595,0.309191646,0.401825052,0.238560374,0.378692873,0.4387335,0.323055929,0.169051892,0.592944606,0.207000131,0.218988049
8081,1,0.364044944,0.337078652,0.4,0.125552909,0.001354512,0.240213523,0.426829268,0.631178707,0.551724138,0.209302326,0.877040261,0.754227734,0.542763158,0.01618123,0.085972851,0.041958042,0.013404826,0.107769424,0.388613861,0.001454043,0.001785054,0.867158672,0.000871287,0.283413234,0.415851224,0.22040195,0.416146688,0.3431883,0.420046582,0.150254342,0.646705539,0.179443646,0.213536935
8083,1,0.492134831,0.476404494,0.518181818,0.090847227,0.002352264,0.339857651,0.527439024,0.589353612,0.341954023,0.201550388,0.84874864,0.821871477,0.259868421,0.001618123,0.057315234,0.034965035,0.018766756,0.240601504,0.430693069,0.003039082,0.003661354,0.835793358,0.002806419,0.234892092,0.284318741,0.200485674,0.321492633,0.3433085,0.318633738,0.318972549,0.682565598,0.18360112,0.407226221
8091,1,0.714606742,0.712359551,0.706818182,0.068390609,0.000479818,0.665480427,0.423780488,0.281368821,0.298850575,0.098837209,0.756256801,0.622322435,0.5625,0.004854369,0.135746606,0.083916084,0.034852547,0.285714286,0.492574257,0.000657753,0.000855819,0.964944649,0.001140321,0.28756034,0.413277009,0.177977927,0.318687047,0.3544721,0.309276341,0.350279553,0.569387755,0.098667886,0.436054232
8121,1,0.478651685,0.456179775,0.515909091,0.119428377,0.000457603,0.439501779,0.298780488,0.365019011,0.436781609,0.286821705,0.823721436,0.772266065,0.328947368,0.011326861,0.073906486,0,0.021447721,0.263157895,0.46039604,0.000519613,0.000642389,0.874538745,0.000344145,0.244513379,0.227636508,0.21998514,0.341913625,0.3823946,0.32309697,0.227409572,0.498367347,0.239388795,0.196991404
9003,1,0.420224719,0.386516854,0.443181818,0.079278666,0.094437745,0.533807829,0.356707317,0.619771863,0.175287356,0.197674419,0.89445049,0.863585118,0.276315789,0.055016181,0.031674208,0.013986014,0.024128686,0.095238095,0.448019802,0.10008209,0.12004384,0.830258303,0.128174804,0.512300317,0.317668025,0.359779634,0.512241863,0.6734637,0.689810492,0.482181257,0.386530612,0.182837046,0.546212174
9013,1,0.366292135,0.343820225,0.386363636,0.099353522,0.016730697,0.505338078,0.375,0.589353612,0.25,0.180232558,0.880304679,0.869222097,0.217105263,0.030744337,0.066365008,0.013986014,0.016085791,0.112781955,0.52970297,0.016894373,0.021336745,0.918819188,0.022190509,0.597315993,0.329961552,0.46075642,0.579008693,0.7156745,0.685603768,0.337377093,0.556034985,0.082734753,0.408396813
10005,1,0.586516854,0.564044944,0.602272727,0.079278666,0.019651861,0.323843416,0.457317073,0.623574144,0.333333333,0.251937984,0.9085963,0.887260428,0.25,0.012944984,0.025641026,0.013986014,0.032171582,0.127819549,0.504950495,0.02410465,0.028285556,0.793357934,0.020230795,0.301196025,0.333426841,0.238886573,0.416008708,0.4769783,0.512779209,0.377500779,0.493119534,0.182314703,0.438570131
12007,1,0.438202247,0.364044944,0.515909091,0.17897244,0.001989623,0.323843416,0.579268293,0.6121673,0.284482759,0.213178295,0.943416757,0.894024803,0.335526316,0.003236246,0.046757164,0,0.021447721,0.045112782,0.683168317,0.002900545,0.003177858,0.684501845,0.00110618,0.286764096,0.342238577,0.196100107,0.44671685,0.3817269,0.430604435,0.386413858,0.582565598,0.182130556,0.464235796
12029,1,0.557303371,0.519101124,0.611363636,0.167744131,0.001035432,0.160142349,0.481707317,0.642585551,0.393678161,0.362403101,0.911860718,0.8421646,0.388157895,0,0.015082956,0.006993007,0.037533512,0.155388471,0.561881188,0.001880372,0.001915105,0.577490775,0.000394674,0.189970638,0.296810284,0.212228847,0.245481166,0.4908928,0.588582334,0.413627668,0.718250729,0.20464934,0.468359075
12031,1,0.325842697,0.305617978,0.345454545,0.078598163,0.09193389,0.403914591,0.408536585,0.756653992,0.224137931,0.203488372,0.896626768,0.852311161,0.315789474,0.030744337,0.022624434,0.041958042,0.037533512,0.120300752,0.477722772,0.09290476,0.109867878,0.806273063,0.086107204,0.321500257,0.291150311,0.209746108,0.388857375,0.4796357,0.505330228,0.341425796,0.628163265,0.291628575,0.405321825
12033,1,0.350561798,0.31011236,0.388636364,0.094930248,0.030286273,0.332740214,0.484756098,0.813688213,0.244252874,0.189922481,0.857453754,0.801578354,0.345394737,0.011326861,0.031674208,0.027972028,0.034852547,0.235588972,0.420792079,0.031658689,0.038116988,0.835793358,0.026616593,0.270905562,0.253972707,0.175332089,0.363975041,0.4231632,0.430645476,0.427264233,0.680291545,0.181618918,0.532759103
12067,1,0.379775281,0.352808989,0.404545455,0.216740388,0.000522943,0.304270463,0.539634146,0.368821293,0.425287356,0.28875969,0.942328618,0.81848929,0.552631579,0.003236246,0.007541478,0.055944056,0.024128686,0.090225564,0.502475248,0.000828047,0.000828026,0.553505535,0.000307272,0.264386311,0.473309021,0.273354959,0.27293912,0.4668563,0.267270657,0.279323437,0.605714286,0.335314092,0.341690544
